Name,User Name,Role,Joined Date,Analyst Confidence,Error Rate,Accuracy Percentile,Points,Points/Estimate,Stocks,Pending Estimates
Analyst_6608843,Analyst_6608843,Non Professional Telecommunication Services Diversified Telecommunications,2021-02-01,7,0,0,0,0,0,0
Lyubo,Lyubo,Non Professional Information Technology Internet Software & Services,2020-10-01,8.1,0.08,0.47,22,5.5,4,1
Analyst_511201,Analyst_511201,Non Professional Student,2020-04-01,6.7,0,0,0,0,0,0
Analyst_6212629,Analyst_6212629,Other,2021-02-01,7.3,0.19,0.57,29,9.7,3,0
EMOlson,EMOlson,Financial Professional Independent Other,2018-08-01,6.9,0.16,0.54,52,4.7,11,4
Alamosbeat,Alamosbeat,Financial Professional Buy Side Other,2019-04-01,8.4,0,0,0,0,0,0
Tintin31,Tintin31,Non Professional Information Technology IT Services,2016-05-01,7.6,0.2,0.51,191,9.1,21,0
Analyst_6603212,Analyst_6603212,Non Professional Financials Insurance,2016-08-01,7.2,0,0,0,0,0,0
Analyst_8595614,Analyst_8595614,,2021-01-01,3.8,0.23,0,50,50,1,0
Analyst_714359,Analyst_714359,,2021-01-01,7.4,0,S,0,0,0,0
jiaherrt,jiaherrt,Non Professional Information Technology Internet Software & Services,2016-06-01,7.7,0.27,0.15,4,4,1,0
PascalZimmer,PascalZimmer,Non Professional Consumer Staples Food & Staples Retailing,2020-07-01,5.2,0.12,0.23,56,5.6,10,11
Analyst_4642668,Analyst_4642668,Financial Professional Buy Side Asset Manager,2015-04-01,7.6,0.16,0.58,131,7.3,18,5
Analyst_7405900,Analyst_7405900,Non Professional Other Other,2015-11-01,8,0.06,0.56,37,9.3,4,1
mahuda72,mahuda72,Non Professional Energy Energy Equipment & Services,2021-01-01,7.1,0,0,0,0,0,0
Analyst_1428173,Analyst_1428173,,2021-01-01,6.6,0,0,0,0,0,0
Analyst_2000702,Analyst_2000702,Non Professional Other Other,2020-12-01,6.7,0,0,0,0,0,0
kobv,kobv,Non Professional Student,2017-08-01,7.1,0.25,0.71,97,19.4,5,0
asuram54,asuram54,Non Professional Information Technology Software,2013-12-01,7.4,0.47,0.22,1,0.3,3,0
Analyst_3007367,Analyst_3007367,Non Professional Other Other,2021-03-01,0,0,0,0,0,0,0
Analyst_1284391,Analyst_1284391,Non Professional Other Other,2021-03-01,7.1,0,0,0,0,0,0
Bob Katz,Katzup,Financial Professional Independent Independent Research,2016-02-01,8.6,0.31,0.78,20,20,1,0
